id,name,englishName,level,implementation,declaredTarget,status,expectedSemantics,expectedCapabilities,semanticGaps,unprovenCapabilities,runtimeSpecializations,runtimeReferences,directTests
"fireball","火球术","Fireball","3","core-transaction","full","verified-full","saving-throw | half-on-save | damage | area | slot-scaling","","","","","src/pages/maps/spellSettlementCoordinator.ts | src/rulesets/dnd5e/localContentAiImport.ts","src/components/map/CombatActionBanner.test.ts | src/components/map/Dnd5eActionIcon.test.ts | src/components/map/Dnd5eActionIcon.test.tsx | src/components/map/flamingSphereHandoff.test.ts | src/components/map/PlayerCombatHotbar.test.ts | src/lib/characterExcelImport.test.ts | src/lib/combatLogDetails.test.ts | src/lib/combatPresentation.test.ts | src/lib/dnd5eActionIcons.test.ts | src/lib/dnd5eCombatActionDescriptors.test.ts | src/lib/monsterManualSpell.test.ts | src/lib/sharedServerCore.test.ts | src/lib/vfxSequence.test.ts | src/pages/maps/aoeTargetingSession.test.ts | src/pages/maps/CombatLogEntryCard.test.ts | src/pages/maps/commitDnd5eCombatResult.test.ts | src/pages/maps/settleDnd5eCombatResult.test.ts | src/pages/maps/spellSettlementCoordinator.test.ts | src/presentation/maps/combatViewModel.test.ts | src/rulesets/dnd5e/activities/dnd5eActivityIdentity.test.ts | src/rulesets/dnd5e/activities/dnd5eCoreSpellActivities.test.ts | src/rulesets/dnd5e/combatSimulation.test.ts | src/rulesets/dnd5e/customMonsterWorkshop.test.ts | src/rulesets/dnd5e/featHeadlessPrimitives.test.ts | src/rulesets/dnd5e/headlessCombatEngine.test.ts | src/rulesets/dnd5e/magicItems.test.ts | src/rulesets/dnd5e/monsterAdvancedAbilities.test.ts | src/rulesets/dnd5e/monsterContentAutoParser.test.ts | src/rulesets/dnd5e/monsterCoreSpellAction.test.ts | src/rulesets/dnd5e/monsterGenericAbilities.test.ts | src/rulesets/dnd5e/monsterHeadlessCoverage.test.ts | src/rulesets/dnd5e/monsterResourceActions.test.ts | src/rulesets/dnd5e/monsterTurnPlanner.test.ts | src/rulesets/dnd5e/pluginApi.test.ts | src/rulesets/dnd5e/plugins/pluginItemHeadlessProtocol.test.ts | src/rulesets/dnd5e/postSpellRandomTable.test.ts | src/rulesets/dnd5e/spellAction.test.ts | src/rulesets/dnd5e/spellbook.test.ts | src/rulesets/dnd5e/spellCatalog.test.ts | src/rulesets/dnd5e/spellComponents.test.ts | src/rulesets/dnd5e/spellModifierIntents.test.ts | src/rulesets/dnd5e/spellPresentationCoverage.test.ts | src/rulesets/dnd5e/subclassSpellcasting.test.ts | src/rulesets/dnd5e/subclassSpellLists.test.ts | src/rulesets/dnd5e/verticalCombatGeometry.test.ts"
"flame-blade","火焰刀","Flame Blade","2","core-transaction","full","verified-full","spell-attack | damage | concentration | sustained-control | slot-scaling","","","","","src/pages/maps/spellSettlementCoordinator.ts | src/rulesets/dnd5e/headlessCombatEngine.ts | src/rulesets/dnd5e/sustainedSpellControls.ts","src/lib/combatPresentation.test.ts | src/lib/dnd5eActionIcons.test.ts | src/lib/sharedServerCore.test.ts | src/pages/maps/spellSettlementCoordinator.test.ts | src/rulesets/dnd5e/headlessCombatEngine.test.ts | src/rulesets/dnd5e/inventoryHeadlessCombat.test.ts | src/rulesets/dnd5e/spellAction.test.ts"
"flame-strike","焰击术","Flame Strike","5","core-transaction","full","verified-full","saving-throw | half-on-save | damage | area | slot-scaling","","","","","src/rulesets/dnd5e/verticalCombatGeometry.ts","src/components/map/combatSpellDamagePresentation.test.ts | src/lib/combatPresentation.test.ts | src/pages/maps/spellSettlementCoordinator.test.ts | src/rulesets/dnd5e/spellAction.test.ts"
"flaming-sphere","炽焰法球","Flaming Sphere","2","core-transaction","full","verified-full","saving-throw | half-on-save | damage | concentration | turn-trigger | movement | sustained-control | slot-scaling","","","","saving-throw | half-on-save | damage | movement | slot-scaling","src/rulesets/dnd5e/coreSpellAreas.ts | src/rulesets/dnd5e/coreSpellAreaVisuals.ts | src/rulesets/dnd5e/persistentAreaTypes.ts | src/rulesets/dnd5e/pluginAreas.ts | src/rulesets/dnd5e/spellAction.ts | src/rulesets/dnd5e/verticalCombatGeometry.ts","src/components/map/Dnd5eConcentrationTokenBadge.test.tsx | src/components/map/Dnd5eSpellEffectDetailPanel.test.tsx | src/components/map/flamingSphereHandoff.test.ts | src/components/map/PlayerCombatHotbar.test.ts | src/components/map/tokenStatusTooltip.test.ts | src/lib/combatPresentation.test.ts | src/lib/dnd5eActionIcons.test.ts | src/lib/dnd5eCombatActionDescriptors.test.ts | src/lib/sharedResourceValidation.test.ts | src/pages/maps/aoeTargetingSession.test.ts | src/pages/maps/combatStartTokenMarks.test.ts | src/pages/maps/concentrationTokenMarks.test.ts | src/pages/maps/dmWallOfFireRemoval.test.ts | src/pages/maps/flamingSphereConcentration.test.ts | src/pages/maps/persistentAreaTurnBoundary.test.ts | src/pages/maps/spellSettlementCoordinator.test.ts | src/pages/maps/tokenBorderPresentation.test.ts | src/rulesets/dnd5e/combatPersistentSpellBatch.test.ts | src/rulesets/dnd5e/coreSpellAreas.test.ts | src/rulesets/dnd5e/genericCombatPrimitives.test.ts | src/rulesets/dnd5e/monsterTurnPlanner.test.ts | src/rulesets/dnd5e/persistentAreaPresentation.test.ts | src/rulesets/dnd5e/pluginAreas.test.ts | src/rulesets/dnd5e/spellAction.test.ts | src/store/mapsMigrate.test.ts | src/store/roomCommands.test.ts | src/store/syncMerge.test.ts"
"flesh-to-stone","石化术","Flesh to Stone","6","audited-activity","full","verified-full","saving-throw | concentration | condition | turn-trigger","saving-throw | multi-save-counter | condition-lifecycle","","","","src/rulesets/dnd5e/spellVisibility.ts","src/rulesets/dnd5e/spellCatalog.test.ts"
"floating-disk","浮碟术","Floating Disk","1","audited-activity","full","verified-full","","summon-companion | source-following | carry-capacity","","","summon-companion | source-following | carry-capacity","src/rulesets/dnd5e/spellVisibility.ts","src/lib/dnd5eActionIcons.test.ts | src/rulesets/dnd5e/coreSpellAreas.test.ts"
"fly","飞行术","Fly","3","core-transaction","full","verified-full","concentration | movement | slot-scaling","","","","","src/pages/maps/spellSettlementCoordinator.ts | src/pages/maps/usePlayerMovementController.ts | src/rulesets/dnd5e/combatSimulation.ts | src/rulesets/dnd5e/declarativeSubclassAbility.ts | src/rulesets/dnd5e/headlessCombatEngine.ts | src/rulesets/dnd5e/mapBridge.ts | src/rulesets/dnd5e/monsterAdvancedAbilities.ts | src/rulesets/dnd5e/monsterMoveAction.ts | src/rulesets/dnd5e/monsters.ts | src/rulesets/dnd5e/monsterSchema.ts | src/rulesets/dnd5e/monsterSupportCandidateGenerators.ts | src/rulesets/dnd5e/monsterTurnPlan.ts | src/rulesets/dnd5e/monsterTurnPlanner.ts | src/rulesets/dnd5e/playerMoveAction.ts | src/rulesets/dnd5e/traversal.ts","src/lib/combatCommandApi.test.ts | src/lib/combatPresentation.test.ts | src/lib/sharedServerCore.test.ts | src/pages/maps/concentrationTokenMarks.test.ts | src/pages/maps/dmWallOfFireRemoval.test.ts | src/pages/maps/settleDnd5eCombatResult.test.ts | src/pages/maps/spellSettlementCoordinator.test.ts | src/rulesets/dnd5e/activeEffects.test.ts | src/rulesets/dnd5e/flyingSnakeHeadless.test.ts | src/rulesets/dnd5e/genericCombatPrimitives.test.ts | src/rulesets/dnd5e/headlessCombatEngine.test.ts | src/rulesets/dnd5e/mapBridge.test.ts | src/rulesets/dnd5e/monsterAdvancedAbilities.test.ts | src/rulesets/dnd5e/monsterCoreSpellAction.test.ts | src/rulesets/dnd5e/monsterMoveAction.test.ts | src/rulesets/dnd5e/monsterResourceActions.test.ts | src/rulesets/dnd5e/monsterTurnPlanner.test.ts | src/rulesets/dnd5e/playerMoveAction.test.ts | src/rulesets/dnd5e/spellAction.test.ts | src/rulesets/dnd5e/traversal.test.ts | src/rulesets/dnd5e/traversalHeadless.test.ts | src/store/roomCommands.test.ts"
"fog-cloud","云雾术","Fog Cloud","1","core-transaction","full","verified-full","concentration | area | slot-scaling","","","","","src/rulesets/dnd5e/coreSpellAreas.ts | src/rulesets/dnd5e/coreSpellAreaVisuals.ts | src/rulesets/dnd5e/monsterAdvancedAbilities.ts | src/rulesets/dnd5e/persistentAreaTypes.ts | src/rulesets/dnd5e/spellbook.ts","src/components/map/MapPersistentAreaLayers.test.ts | src/lib/dnd5eActionIcons.test.ts | src/lib/mapGeometry.test.ts | src/lib/vfxSequence.test.ts | src/pages/maps/spellSettlementCoordinator.test.ts | src/rulesets/dnd5e/coreSpellAreas.test.ts | src/rulesets/dnd5e/monsterAdvancedAbilities.test.ts | src/rulesets/dnd5e/spellCatalog.test.ts"
"forbiddance","禁制术","Forbiddance","6","audited-activity","partial","partial","damage | turn-trigger | movement","persistent-area | typed-target | teleport-blocking | turn-trigger-gap","","","","",""
"forcecage","魔力监牢","Forcecage","7","audited-activity","full","verified-full","saving-throw | area | movement","persistent-area | movement-blocking | teleport-save","","","","","src/lib/mapGeometry.test.ts | src/rulesets/dnd5e/activities/dnd5eCoreSpellActivities.test.ts"
"foresight","预警术","Foresight","9","audited-activity","full","verified-full","","roll-mode-modifier | condition-immunity | duration","","","condition-immunity","src/rulesets/dnd5e/activeEffects.ts","src/rulesets/dnd5e/headlessCombatEngine.test.ts"
"freedom-of-movement","行动自如","Freedom of Movement","4","audited-activity","full","verified-full","condition","condition-immunity | movement-modifier | automatic-escape","","","","src/rulesets/dnd5e/activeEffects.ts","src/rulesets/dnd5e/activeEffects.test.ts | src/rulesets/dnd5e/headlessCombatEngine.test.ts | src/rulesets/dnd5e/passiveDefenses.test.ts | src/rulesets/dnd5e/playerMoveAction.test.ts"
"freezing-sphere","冰封法球","Freezing Sphere","6","core-transaction","full","verified-full","saving-throw | half-on-save | damage | area | slot-scaling","","","","","src/rulesets/dnd5e/spellbook.ts","src/lib/combatPresentation.test.ts | src/pages/maps/spellSettlementCoordinator.test.ts"
"gaseous-form","气化形体","Gaseous Form","3","audited-activity","full","verified-full","concentration | condition | movement","stat-transform | movement-mode | action-restriction","","","","","src/lib/dnd5eActionIcons.test.ts | src/rulesets/dnd5e/activeEffects.test.ts | src/rulesets/dnd5e/activities/dnd5eActivityHeadlessAuthorityBridge.test.ts"
"gate","异界之门","Gate","9","audited-activity","partial","partial","concentration | movement","cross-scene | summon-companion | deity-veto","","","concentration | movement","src/rulesets/dnd5e/spellVisibility.ts","src/components/dm/dmCampaignStoryModel.test.ts | src/lib/combatLogRollback.test.ts | src/lib/sceneOrchestration.test.ts | src/lib/sharedServerCore.test.ts | src/pages/maps/dicePresentationGate.test.ts | src/rulesets/dnd5e/declarativeClass.test.ts"
"geas","指使术","Geas","5","audited-activity","partial","partial","saving-throw | damage | condition | slot-scaling","saving-throw | semantic-command | semantic-compliance","原文要求 slot-scaling，Activity 及专用运行时均无完整证据","","","src/rulesets/dnd5e/spellVisibility.ts",""
"gentle-repose","遗体防腐","Gentle Repose","2","audited-activity","full","verified-full","","corpse-state | duration | resurrection-timer","","","","","src/lib/dnd5eActionIcons.test.ts | src/rulesets/dnd5e/activities/dnd5eCoreSpellActivities.test.ts"
"giant-insect","巨虫术","Giant Insect","4","audited-activity","partial","partial","concentration","stat-transform | form-catalog | dm-actor-control","原文要求 concentration，Activity 及专用运行时均无完整证据","","","",""
"glibness","花言巧语","Glibness","8","audited-activity","partial","partial","","minimum-roll | truth-detection-gap","","","","","src/rulesets/dnd5e/headlessCombatEngine.test.ts"
"globe-of-invulnerability","法术无效结界","Globe of Invulnerability","6","audited-activity","partial","partial","concentration | slot-scaling","persistent-area | spell-level-suppression | slot-scaling-gap","","","","",""
"glyph-of-warding","守卫刻文","Glyph of Warding","3","audited-activity","partial","partial","saving-throw | half-on-save | damage | concentration | area | slot-scaling","persistent-area | open-text-trigger | spell-storage","","","half-on-save | concentration | slot-scaling","src/rulesets/dnd5e/spellMaterials.ts","src/lib/dnd5eActionIcons.test.ts"
"goodberry","神莓术","Goodberry","1","audited-activity","full","verified-full","","item-generation | healing | inventory-effect","","","","","src/rulesets/dnd5e/activities/dnd5eActivityHeadlessAuthorityBridge.test.ts"
"grease","油腻术","Grease","1","core-transaction","full","verified-full","saving-throw | area | condition","","","","saving-throw | condition","src/rulesets/dnd5e/coreSpellAreas.ts | src/rulesets/dnd5e/coreSpellAreaVisuals.ts | src/rulesets/dnd5e/persistentAreaTypes.ts | src/rulesets/dnd5e/verticalCombatGeometry.ts","src/lib/combatPresentation.test.ts | src/lib/mapDifficultTerrain.test.ts | src/pages/maps/spellSettlementCoordinator.test.ts | src/rulesets/dnd5e/combatSimulation.test.ts | src/rulesets/dnd5e/coreSpellAreas.test.ts | src/rulesets/dnd5e/monsterMoveAction.test.ts | src/rulesets/dnd5e/monsterTurnPlanner.test.ts | src/rulesets/dnd5e/persistentAreaGeometry.test.ts | src/rulesets/dnd5e/persistentAreaTypes.test.ts | src/rulesets/dnd5e/playerMoveAction.test.ts | src/rulesets/dnd5e/pluginAreas.test.ts | src/rulesets/dnd5e/spellAction.test.ts | src/rulesets/dnd5e/verticalCombatGeometry.test.ts"
"greater-invisibility","高等隐形术","Greater Invisibility","4","core-transaction","full","verified-full","concentration | condition","","","","","src/pages/maps/spellSettlementCoordinator.ts | src/rulesets/dnd5e/headlessCombatEngine.ts | src/rulesets/dnd5e/monsterAdvancedAbilities.ts | src/rulesets/dnd5e/monsterSupportCandidateGenerators.ts","src/lib/combatPresentation.test.ts | src/lib/sharedServerCore.test.ts | src/pages/maps/spellSettlementCoordinator.test.ts | src/rulesets/dnd5e/headlessCombatEngine.test.ts | src/rulesets/dnd5e/monsterAdvancedAbilities.test.ts | src/rulesets/dnd5e/monsterCoreSpellAction.test.ts"
"greater-restoration","高等复原术","Greater Restoration","5","audited-activity","full","verified-full","condition","mode-choice | effect-removal | ability-restoration","","","ability-restoration","src/rulesets/dnd5e/spellMaterials.ts","src/rulesets/dnd5e/activities/dnd5eActivityHeadlessAuthorityBridge.test.ts"
"guardian-of-faith","信仰守卫","Guardian of Faith","4","audited-activity","full","verified-full","saving-throw | half-on-save | damage","persistent-area | saving-throw | damage-pool","","","","src/rulesets/dnd5e/spellVisibility.ts","src/rulesets/dnd5e/activities/dnd5eCoreSpellActivities.test.ts"
"guards-and-wards","铜墙铁壁","Guards and Wards","6","audited-activity","partial","partial","","multi-area | door-state | illusory-content","","","","src/rulesets/dnd5e/spellMaterials.ts",""
"guidance","神导术","Guidance","0","core-transaction","full","verified-full","concentration","","","","","src/pages/maps/spellSettlementCoordinator.ts | src/rulesets/dnd5e/headlessCombatEngine.ts","src/components/map/tokenStatusTooltip.test.ts | src/lib/combatPresentation.test.ts | src/pages/maps/spellSettlementCoordinator.test.ts | src/presentation/maps/mapViewportCharacters.test.ts | src/rulesets/dnd5e/activeEffects.test.ts | src/rulesets/dnd5e/optionalBonusDieSpells.test.ts"
"guiding-bolt","曳光弹","Guiding Bolt","1","core-transaction","full","verified-full","spell-attack | damage | turn-trigger | slot-scaling","","","","turn-trigger","src/pages/maps/spellSettlementCoordinator.ts | src/rulesets/dnd5e/headlessCombatEngine.ts","src/lib/dnd5eActionIcons.test.ts | src/pages/maps/spellSettlementCoordinator.test.ts | src/rulesets/dnd5e/headlessCombatEngine.test.ts | src/rulesets/dnd5e/monsterParryHeadless.test.ts"
"gust-of-wind","造风术","Gust of Wind","2","audited-activity","full","verified-full","saving-throw | concentration | area | movement | sustained-control","persistent-area | forced-movement | area-movement","","","","","src/lib/dnd5eActionIcons.test.ts"
"hallow","圣居","Hallow","5","audited-activity","partial","partial","saving-throw | area | condition | turn-trigger | movement","persistent-area | mode-choice | open-ended-exclusions","原文要求 condition，Activity 及专用运行时均无完整证据 | 原文要求 turn-trigger，Activity 及专用运行时均无完整证据 | 原文要求 movement，Activity 及专用运行时均无完整证据","mode-choice","","",""
"hallucinatory-terrain","幻景","Hallucinatory Terrain","4","audited-activity","partial","partial","saving-throw | area","terrain-geometry | illusory-content | dm-interpretation","原文要求 area，Activity 及专用运行时均无完整证据","terrain-geometry","","",""
"harm","重伤术","Harm","6","core-transaction","full","verified-full","saving-throw | half-on-save | damage","","","","","src/rulesets/dnd5e/spellVisibility.ts","src/rulesets/dnd5e/headlessCombatEngine.test.ts | src/rulesets/dnd5e/monsterCoreSpellAction.test.ts | src/rulesets/dnd5e/spellCatalog.test.ts"
"haste","加速术","Haste","3","audited-activity","full","verified-full","concentration | turn-trigger | movement | sustained-control","effect-modifier | restricted-extra-action | expiry-penalty","","","expiry-penalty","src/rulesets/dnd5e/spellVisibility.ts","src/rulesets/dnd5e/activities/dnd5eActivityHeadlessAuthorityBridge.test.ts | src/rulesets/dnd5e/headlessCombatEngine.test.ts | src/rulesets/dnd5e/monsterCombatActionCoverageBatch.test.ts | src/rulesets/dnd5e/subclassSpellLists.test.ts"
"heal","医疗术","Heal","6","core-transaction","full","verified-full","healing | condition | slot-scaling","","","","condition","src/pages/maps/spellSettlementCoordinator.ts | src/rulesets/dnd5e/activities/dnd5eActivityExecutor.ts | src/rulesets/dnd5e/activities/dnd5eActivityHeadlessCompiler.ts | src/rulesets/dnd5e/combatSimulation.ts | src/rulesets/dnd5e/headlessActionTransaction.ts | src/rulesets/dnd5e/headlessCombatEngine.ts | src/rulesets/dnd5e/monsterDecisionContracts.ts | src/rulesets/dnd5e/monsterSupportCandidateGenerators.ts | src/rulesets/dnd5e/pluginSandbox.ts | src/rulesets/dnd5e/pluginSandbox.worker.ts | src/rulesets/dnd5e/spellVisibility.ts","src/components/map/Dnd5eActionIcon.test.ts | src/lib/combatStatistics.test.ts | src/lib/dnd5eActionIcons.test.ts | src/lib/sharedResourceSubscription.test.ts | src/lib/sharedServerCore.test.ts | src/lib/vfxSequence.test.ts | src/pages/maps/legendaryActionBoundary.test.ts | src/rulesets/dnd5e/activities/dnd5eActivityExecutor.test.ts | src/rulesets/dnd5e/activities/dnd5eActivityRegistry.test.ts | src/rulesets/dnd5e/activities/dnd5eLongLivedSpellActivities.test.ts | src/rulesets/dnd5e/combatSimulation.test.ts | src/rulesets/dnd5e/fighter.test.ts | src/rulesets/dnd5e/genericCombatPrimitives.test.ts | src/rulesets/dnd5e/headlessCombatEngine.test.ts | src/rulesets/dnd5e/hitPoints.test.ts | src/rulesets/dnd5e/localContentAiImport.test.ts | src/rulesets/dnd5e/localContentCollection.test.ts | src/rulesets/dnd5e/magicItems.test.ts | src/rulesets/dnd5e/monsterCombatActionCoverageBatch.test.ts | src/rulesets/dnd5e/monsterConditionalOnHitBatch.test.ts | src/rulesets/dnd5e/monsterHealingTouch.test.ts | src/rulesets/dnd5e/monsterMummyRotMultiattack.test.ts | src/rulesets/dnd5e/monsterRemainingSettlementBatch.test.ts | src/rulesets/dnd5e/monsterSchema.test.ts | src/rulesets/dnd5e/monsterSupportCandidateGenerators.test.ts | src/rulesets/dnd5e/pluginSandboxCapabilities.test.ts | src/rulesets/dnd5e/prayerOfHealingHeadless.test.ts | src/rulesets/dnd5e/spellAction.test.ts"
"healing-word","治愈真言","Healing Word","1","core-transaction","full","verified-full","healing | slot-scaling","","","","","src/pages/maps/spellSettlementCoordinator.ts | src/rulesets/dnd5e/spellVisibility.ts","src/lib/dnd5eActionIcons.test.ts | src/pages/maps/spellSettlementCoordinator.test.ts | src/rulesets/dnd5e/combatSimulation.test.ts | src/rulesets/dnd5e/headlessCombatEngine.test.ts | src/rulesets/dnd5e/spellAction.test.ts"
"heat-metal","灼热金属","Heat Metal","2","core-transaction","full","verified-full","saving-throw | damage | concentration | turn-trigger | sustained-control | slot-scaling","","","","saving-throw","src/rulesets/dnd5e/spellVisibility.ts | src/rulesets/dnd5e/sustainedSpellControls.ts","src/lib/dnd5eActionIcons.test.ts | src/rulesets/dnd5e/sustainedSpellControls.test.ts"
"hellish-rebuke","炼狱叱喝","Hellish Rebuke","1","core-transaction","full","verified-full","saving-throw | half-on-save | damage | slot-scaling","","","","","src/pages/maps/settleDnd5eCombatResult.ts | src/rulesets/dnd5e/activities/dnd5eActivityIdentity.ts | src/rulesets/dnd5e/headlessCombatEngine.ts | src/rulesets/dnd5e/inventoryReactionSpells.ts | src/rulesets/dnd5e/racialAutomation.ts | src/rulesets/dnd5e/spellVisibility.ts","src/lib/dnd5eActionIcons.test.ts | src/rulesets/dnd5e/headlessCombatEngine.test.ts | src/rulesets/dnd5e/inventoryReactionSpells.test.ts | src/rulesets/dnd5e/magicItems.test.ts | src/rulesets/dnd5e/racialAutomation.test.ts"
"heroes-feast","英雄宴","Heroes’ Feast","6","audited-activity","full","verified-full","condition","max-hit-points | condition-immunity | saving-throw-modifier","","","","src/rulesets/dnd5e/activeEffects.ts | src/rulesets/dnd5e/spellMaterials.ts","src/rulesets/dnd5e/activities/dnd5eCoreSpellActivities.test.ts"
"heroism","英雄气概","Heroism","1","core-transaction","full","verified-full","concentration | condition | turn-trigger","","","","turn-trigger","src/pages/maps/spellSettlementCoordinator.ts | src/rulesets/dnd5e/headlessCombatEngine.ts","src/lib/combatPresentation.test.ts | src/lib/sharedServerCore.test.ts | src/pages/maps/spellSettlementCoordinator.test.ts | src/rulesets/dnd5e/activeEffects.test.ts | src/rulesets/dnd5e/spellAction.test.ts"
"hideous-laughter","狂笑术","Hideous Laughter","1","core-transaction","full","verified-full","saving-throw | concentration | condition | turn-trigger","","","","turn-trigger","src/pages/maps/spellSettlementCoordinator.ts | src/rulesets/dnd5e/headlessCombatEngine.ts | src/rulesets/dnd5e/monsterMoveAction.ts | src/rulesets/dnd5e/playerMoveAction.ts | src/rulesets/dnd5e/spellAction.ts | src/rulesets/dnd5e/spellVisibility.ts","src/lib/combatPresentation.test.ts | src/lib/dnd5eActionIcons.test.ts | src/lib/sharedServerCore.test.ts | src/pages/maps/settleDnd5eCombatResult.test.ts | src/pages/maps/spellSettlementCoordinator.test.ts | src/rulesets/dnd5e/combatScenarioRegression.test.ts | src/rulesets/dnd5e/headlessCombatEngine.test.ts | src/rulesets/dnd5e/localContentCollection.test.ts | src/rulesets/dnd5e/playerMoveAction.test.ts | src/rulesets/dnd5e/spellAction.test.ts"
"hold-monster","怪物定身术","Hold Monster","5","core-transaction","full","verified-full","saving-throw | concentration | condition | turn-trigger | slot-scaling","","","","turn-trigger","src/pages/maps/spellSettlementCoordinator.ts | src/rulesets/dnd5e/headlessCombatEngine.ts | src/rulesets/dnd5e/spellAction.ts | src/rulesets/dnd5e/spellVisibility.ts","src/lib/combatPresentation.test.ts | src/pages/maps/spellSettlementCoordinator.test.ts | src/rulesets/dnd5e/headlessCombatEngine.test.ts"
"hold-person","人类定身术","Hold Person","2","core-transaction","full","verified-full","saving-throw | concentration | condition | turn-trigger | slot-scaling","","","","turn-trigger","src/pages/maps/spellSettlementCoordinator.ts | src/rulesets/dnd5e/headlessCombatEngine.ts | src/rulesets/dnd5e/monsterAdvancedAbilities.ts | src/rulesets/dnd5e/monsterCoreSpellAction.ts | src/rulesets/dnd5e/monsterTurnPlanner.ts | src/rulesets/dnd5e/spellAction.ts | src/rulesets/dnd5e/spellVisibility.ts","src/lib/combatPresentation.test.ts | src/lib/dnd5eActionIcons.test.ts | src/lib/sharedServerCore.test.ts | src/pages/maps/concentrationTokenMarks.test.ts | src/pages/maps/spellSettlementCoordinator.test.ts | src/rulesets/dnd5e/combatSimulation.test.ts | src/rulesets/dnd5e/headlessCombatEngine.test.ts | src/rulesets/dnd5e/monsterAdvancedAbilities.test.ts | src/rulesets/dnd5e/monsterCoreSpellAction.test.ts | src/rulesets/dnd5e/monsterResourceActions.test.ts"
"holy-aura","圣洁灵光","Holy Aura","8","audited-activity","full","verified-full","saving-throw | concentration | condition","roll-mode-modifier | typed-target | reaction-trigger","","","reaction-trigger","src/rulesets/dnd5e/spellMaterials.ts","src/rulesets/dnd5e/activities/dnd5eFormula.test.ts | src/rulesets/dnd5e/headlessCombatEngine.test.ts"
"hunters-mark","猎人印记","Hunter's Mark","1","core-transaction","full","verified-full","damage | concentration | slot-scaling","","","","damage | slot-scaling","src/pages/maps/spellSettlementCoordinator.ts | src/rulesets/dnd5e/character.ts | src/rulesets/dnd5e/headlessCombatEngine.ts | src/rulesets/dnd5e/spellVisibility.ts","src/components/map/CombatActionBanner.test.ts | src/lib/combatPresentation.test.ts | src/lib/dnd5eActionIcons.test.ts | src/lib/sharedServerCore.test.ts | src/pages/maps/spellSettlementCoordinator.test.ts | src/rulesets/dnd5e/headlessCombatEngine.test.ts | src/rulesets/dnd5e/spellCatalog.test.ts"
"hypnotic-pattern","催眠图纹","Hypnotic Pattern","3","core-transaction","full","verified-full","saving-throw | concentration | area | condition","","","","","src/pages/maps/spellSettlementCoordinator.ts | src/rulesets/dnd5e/headlessCombatEngine.ts | src/rulesets/dnd5e/verticalCombatGeometry.ts","src/lib/dnd5eActionIcons.test.ts | src/pages/maps/spellSettlementCoordinator.test.ts | src/rulesets/dnd5e/headlessCombatEngine.test.ts | src/rulesets/dnd5e/playerBasicAction.test.ts | src/rulesets/dnd5e/spellbook.test.ts"
"ice-storm","冰风暴","Ice Storm","4","core-transaction","full","verified-full","saving-throw | half-on-save | damage | area | turn-trigger | slot-scaling","","","","turn-trigger | slot-scaling","src/rulesets/dnd5e/coreSpellAreas.ts | src/rulesets/dnd5e/coreSpellAreaVisuals.ts | src/rulesets/dnd5e/persistentAreaPresentation.ts | src/rulesets/dnd5e/verticalCombatGeometry.ts","src/lib/combatPresentation.test.ts | src/pages/maps/spellSettlementCoordinator.test.ts | src/rulesets/dnd5e/coreSpellAreas.test.ts | src/rulesets/dnd5e/headlessCombatEngine.test.ts | src/rulesets/dnd5e/playerMoveAction.test.ts | src/rulesets/dnd5e/pluginAreas.test.ts | src/rulesets/dnd5e/spellAction.test.ts | src/rulesets/dnd5e/spellbook.test.ts | src/rulesets/dnd5e/spellDamageMaxDieBonus.test.ts"
"identify","鉴定术","Identify","1","audited-activity","full","verified-full","","metadata-visibility | effect-detection | inventory-effect","","","metadata-visibility | effect-detection","src/rulesets/dnd5e/activities/dnd5eActivityHeadlessAuthorityBridge.ts | src/rulesets/dnd5e/items.ts","src/rulesets/dnd5e/activities/dnd5eActivityHeadlessAuthorityBridge.test.ts | src/rulesets/dnd5e/items.test.ts | src/rulesets/dnd5e/spellMaterials.test.ts | src/rulesets/dnd5e/spellPresentationCoverage.test.ts"
"illusory-script","迷幻手稿","Illusory Script","1","audited-activity","partial","partial","","illusory-content | reader-identity | dm-interpretation","","","","src/rulesets/dnd5e/spellMaterials.ts","src/lib/dnd5eActionIcons.test.ts"
"imprisonment","禁锢术","Imprisonment","9","audited-activity","partial","partial","saving-throw | condition | movement","mode-choice | planar-state | open-text-release","","","condition | movement | mode-choice | planar-state","src/rulesets/dnd5e/spellVisibility.ts","src/rulesets/dnd5e/spellCatalog.test.ts"
"incendiary-cloud","焚云术","Incendiary Cloud","8","audited-activity","full","verified-full","saving-throw | half-on-save | damage | concentration | area | turn-trigger","persistent-area | saving-throw | area-lifecycle","","","","","src/rulesets/dnd5e/activities/dnd5eCoreSpellActivities.test.ts"
"inflict-wounds","致伤术","Inflict Wounds","1","core-transaction","full","verified-full","spell-attack | damage | slot-scaling","","","","","src/pages/maps/spellSettlementCoordinator.ts","src/lib/dnd5eActionIcons.test.ts | src/pages/maps/spellSettlementCoordinator.test.ts | src/rulesets/dnd5e/monsterParryHeadless.test.ts | src/rulesets/dnd5e/monsterResourceActions.test.ts"
